IdProducto,IdCategoria,Marca,Observacion,PrecioCompra,PrecioVenta,Nombre,Codigo,Stock,FechaAct,Usuario,UbicStock,StoAnt,Familia
15546,1, ,,0,240,"Z-NYA-2,5- BLANCO                                 ",3215,9999435,,,0,,3
15552,1, ,,0,18580,PISTOLA CALOR 1600W DONGCHENG                     ,2500000047503,0,,,1,,4
15554,1,COMERCIAL UYUSTOOLS CHILE LIMITADA,,0,21550,"PISTOLA CALOR 2000W ""DONGCHENG""                   ",1301420041,2,,,1,,4
19759,1, ,,0,24900,ATORNILLADOR BDCS36W                              ,2500000043802,1,,,1,,4
20628,1, ,,0,46450,ESMERIL 4.1/2 700W DEWALT (DWE4010)               ,885911351904,3,,,1,,4
29032,1, ,,0,28980,TALADRO 10MM B&D 550W TB550                       ,885911332316,51,,,1,,4
30114,1, ,,0,5100,LLAVE PUNTA CORONA C/CHICHARRA 16MM               ,8593,5,,,1,,4
30204,1, ,,0,35250,TALADRO PERCUTOR 500W VEL VARIA DONGCHEN          ,8622,-1,,,1,,4
31161,1, ,,0,26880,DESTORNILLADOR RECARG 4V 2.0AMP 5MM DONGCHENG     ,80069,2,,,1,,4
31163,1, ,,0,26280,"TALADRO ROTACION 500 WATT  "" DONGCHENG""           ",40233,6,,,1,,4
31165,1, ,,0,38880,"TALADRO ROTACION 1010 WATT 5/8"" ""DONGCHENG""       ",40231,2,,,1,,4
31167,1, ,,0,144100,TALADRO PERCUTOR INALAMBRICO 18V/120NM 2 BATERIAS ,6925582189841,0,,,1,,4
31878,1, ,,0,96600,ROTOMARTILLO RECARGABLE 12V/2.0AH DONGCHENG       ,301150011,3,,,1,,4
32375,1, ,,0,72000,"TALADRO ANGULAR RECARGABLE 12V,2BAT,2AH

         ",82365,1,,,1,,4
32378,1, ,,0,82560,"DESTORNILLADOR RECARGABLE 12V/1.5AH DONG

        ",82367,2,,,1,,4
32379,1, ,,0,81600,"HERRAMIENTA MULT. RECARGABLE 12V,2BT,2.0          ",82368,5,,,1,,4
33044,1, ,,0,155560,"ESMERIL ANG RECARG 18V 2BAT DONGCHENG

           ",465,4,,,1,,4
34386,1, ,,0,1980,GUANTE ULTRAFLEX WARM NITRILO                     ,GU20            ,993,,,1,,4
