CODIGO_COMUNA,DETALLE_COMUNA
1,FUTRONO
2,LAGO RANCO
3,VALDIVIA
4,SANTIAGO
5,LAS CONDES
6,PAILLACO
7,RANCAGUA
8,VALPARAISO
9,OSORNO
10,INDEPENDENCIA
11,CONCHALI
12,CALERA DE TANGO
13,PROVIDENCIA
14,MAIPU
15,VITACURA
16,PUDAHUEL
17,TEMUCO
18,ESTACION CENTRAL
19,PANGUIPULLI
20,LA GRANJA
21,VILLARRICA
22,LOS LAGOS
23,QUILICURA
24,SAN MIGUEL
25,VINA DEL MAR
26,PLACILLA
27,SAN BERNARDO
28,CONCEPCION
29,NULA
30,SAN FERNANDO
31,PTO MONTT
32,LAMPA
33,LA UNION
34,MELIPILLA
36,MAFIL
38,IQUIQUE
40,CUNCO
41,QUILLOTA
42,SAN ANTONIO
44,RIO BUENO
45,CORRAL
46,LAUTARO
47,SAN FELIPE
50,CURACAVI
43,SAN JOSE DE LA MARIQUINA
56,CURICO
57,SAN CARLOS
35,PUERTO VARAS
58,TALAGANTE
59,REMAICO
60,CERRO NAVIA
61,HUECHURABA
62,QUILPUE
63,SANTIAGO CENTRO
64,RENCA
65,CERRILLOS
66,SAN DIEGO
67,SAN JOAQUIN
68,MACUL
69,QUINTA NORMAL
70,NUNOA
707,EL BOSQUE
72,COLINA
73,CHILLAN
80,YUMBEL
74,RECOLETA
81,RAHUE
90,CASTRO
91,SAN PEDRO DE LA PAZ
100,MALALHUE
101,LANCO
88,QUINTA NORMAL
95,PUERTO MONTT
99,PIRQUE
110,LO ESPEJO
566,LA FLORIDA
102,LOS ANGELES
122,PENCO
120,PAMQUEHUE
121,PANQUEHUE
123,LO BARNECHEA
112,FRUTILLAR
128,LA PINTANA
75,SAN PABLO
140,EL QUISCO
82,ANTOFAGASTA
85,LA CALERA
150,SAN ESTEBAN
103,BUIN
104,LLANQUIHUE
105,PINTO
106,LONCOCHE
89,REQUINOA
107,LA REINA
115,PUENTE ALTO
151,CARTAGENA
190,AYSEN
152,PENAFLOR
153,ZAPALLAR
154,RENGO
108,PENALOLEN
200,SAN RAMON
201,QUILLON
178,PUNTA  ARENAS
76,CAJON
37,PADRE  LAS CASAS
500,TALCA
708,PADRE LAS  CASAS
170,PUCON
135,LAS CABRAS
136,MOLINA
191,CHIGUAYANTE
125,RIO  NEGRO
600,PARRAL
126,DALCAHUE
127,NUEVA  IMPERIAL
129,PUYEHUE
132,BULNES
130,PULLEHUE
777,PAINE
145,MAULLIN
700,LA CISTERNA
780,NOGALES
781,SANTA  MARIA
778,LOS  ANDES
254,BLANCO
501,QUINCHAO
96,PENCAHUE
400,PEDRO  AGUIRRE CERDA
131,PURRANQUE
601,PUERTO  OCTAY
502,QUELLON
301,ANCUD
290,CABRERO
360,CUREPTO
361,TALCAHUANO
580,MARIQUINA
302,LOLOL
505,SAN VICENTE DE TAGUATAGUA
160,LEBU
550,LOS  MUERMOS
401,EL  TABO
155,VILCUN
137,EL MONTE
602,SAGRADA  FAMILIA
450,ANGOL
300,CONCON
310,QUINTERO
303,SAN IGNACIO
410,COQUIMBO
180,FREIRE
701,LICANTEN
790,SANTA  BARBARA
801,ARAUCO
901,PITRUFQUEN
650,COLLIPULLI
999,CHILE CHICO
902,GORBEA
887,LA SERENA
912,SAN FRANCISCO
409,CHONCHI
709,MACHALI
906,LA CRUZ
904,NANCAHUA
903,COYHAIQUE
908,CAUQUENES
199,LIMACHE
930,HUALPEN
995,CANETE
897,ISLA DE MAIPO
000,LO ESPEJO
1000,TENO
141,VILLA  ALEMANA
119,SANTA  CRUZ
788,LA GRANJA
905,ARICA
910,CORONEL
430,NACIMIENTO
403,ISLA  DE  PASCUA
404,VILLA  ALEGRE
250,ROMERAL
783,SAN PEDRO  DE  LA  PAZ
555,LO PRADO
1001,COLBUN
802,EL OLIVAR
803,CHIMBARONGO
900,ILLAPEL
860,PADRE  HURTADO
950,LINARES
425,LA  REINA
